taking medicine with Kevin on the 4th from 3pm to 4pm	schedule ( title = taking medicine with Kevin ; date = 4th ; start-time = 3pm ; end-time = 4pm )
schedule interview with  on the 12th from 12am to 1am	schedule ( title = interview with  ; date = 12th ; start-time = 12am ; end-time = 1am )
schedule trip with James on the 9th from 9am to 10am	schedule ( title = trip with James ; date = 9th ; start-time = 9am ; end-time = 10am )
schedule lab appointment with Lucas on the 8th from 6am to 7am	schedule ( title = lab appointment with Lucas ; date = 8th ; start-time = 6am ; end-time = 7am )
schedule lunch with Benjamin on the 12th from 11pm to 12pm	schedule ( title = lunch with Benjamin ; date = 12th ; start-time = 11pm ; end-time = 12pm )
schedule lab appointment with Jennifer on the 26th from 7pm to 8pm	schedule ( title = lab appointment with Jennifer ; date = 26th ; start-time = 7pm ; end-time = 8pm )
schedule optometrist appointment with Harper on the 1st from 6am to 7am	schedule ( title = optometrist appointment with Harper ; date = 1st ; start-time = 6am ; end-time = 7am )
schedule lab appointment with William on the 24th from 11am to 12am	schedule ( title = lab appointment with William ; date = 24th ; start-time = 11am ; end-time = 12am )
schedule zoom with Mary on the 17th from 11pm to 12pm	schedule ( title = zoom with Mary ; date = 17th ; start-time = 11pm ; end-time = 12pm )
schedule interview with Noah on the 4th from 10am to 11am	schedule ( title = interview with Noah ; date = 4th ; start-time = 10am ; end-time = 11am )
schedule meeting with Brian on the 19th from 12pm to 1pm	schedule ( title = meeting with Brian ; date = 19th ; start-time = 12pm ; end-time = 1pm )
schedule breakfast with Brian on the 21st from 11am to 12am	schedule ( title = breakfast with Brian ; date = 21st ; start-time = 11am ; end-time = 12am )
schedule conference with Emma on the 6th from 4am to 5am	schedule ( title = conference with Emma ; date = 6th ; start-time = 4am ; end-time = 5am )
schedule football activities with Ashley on the 31st from 7am to 8am	schedule ( title = football activities with Ashley ; date = 31st ; start-time = 7am ; end-time = 8am )
schedule trip with Alex on the 2nd from 2pm to 3pm	schedule ( title = trip with Alex ; date = 2nd ; start-time = 2pm ; end-time = 3pm )
schedule dentist appointment with Richard on the 20th from 6pm to 7pm	schedule ( title = dentist appointment with Richard ; date = 20th ; start-time = 6pm ; end-time = 7pm )
schedule meeting with Sophia on the 22nd from 9pm to 10pm	schedule ( title = meeting with Sophia ; date = 22nd ; start-time = 9pm ; end-time = 10pm )
schedule lunch with James on the 4th from 4am to 5am	schedule ( title = lunch with James ; date = 4th ; start-time = 4am ; end-time = 5am )
schedule playing football with Benjamin on the 3rd from 8pm to 9pm	schedule ( title = playing football with Benjamin ; date = 3rd ; start-time = 8pm ; end-time = 9pm )
schedule dinner with  on the 2nd from 7am to 8am	schedule ( title = dinner with  ; date = 2nd ; start-time = 7am ; end-time = 8am )
schedule talk with Alex on the 17th from 8pm to 9pm	schedule ( title = talk with Alex ; date = 17th ; start-time = 8pm ; end-time = 9pm )
schedule taking medicine with Emily on the 22nd from 2pm to 3pm	schedule ( title = taking medicine with Emily ; date = 22nd ; start-time = 2pm ; end-time = 3pm )
schedule dinner with Jacob on the 9th from 3pm to 4pm	schedule ( title = dinner with Jacob ; date = 9th ; start-time = 3pm ; end-time = 4pm )
schedule yoga activity with Robert on the 4th from 2pm to 3pm	schedule ( title = yoga activity with Robert ; date = 4th ; start-time = 2pm ; end-time = 3pm )
schedule lab appointment with Kevin on the 4th from 10pm to 11pm	schedule ( title = lab appointment with Kevin ; date = 4th ; start-time = 10pm ; end-time = 11pm )
schedule playing football with Jessica on the 3rd from 4pm to 5pm	schedule ( title = playing football with Jessica ; date = 3rd ; start-time = 4pm ; end-time = 5pm )
schedule flight with Kevin on the 20th from 10pm to 11pm	schedule ( title = flight with Kevin ; date = 20th ; start-time = 10pm ; end-time = 11pm )
schedule dinner with Liam on the 29th from 4am to 5am	schedule ( title = dinner with Liam ; date = 29th ; start-time = 4am ; end-time = 5am )
schedule playing football with Sophia on the 20th from 4am to 5am	schedule ( title = playing football with Sophia ; date = 20th ; start-time = 4am ; end-time = 5am )
schedule flight with father on the 18th from 9pm to 10pm	schedule ( title = flight with father ; date = 18th ; start-time = 9pm ; end-time = 10pm )
schedule optometrist appointment with Amelia on the 26th from 4pm to 5pm	schedule ( title = optometrist appointment with Amelia ; date = 26th ; start-time = 4pm ; end-time = 5pm )
schedule dinner with Charlotte on the 6th from 4am to 5am	schedule ( title = dinner with Charlotte ; date = 6th ; start-time = 4am ; end-time = 5am )
schedule optometrist appointment with Sophia on the 7th from 6am to 7am	schedule ( title = optometrist appointment with Sophia ; date = 7th ; start-time = 6am ; end-time = 7am )
schedule trip with Kevin on the 2nd from 6pm to 7pm	schedule ( title = trip with Kevin ; date = 2nd ; start-time = 6pm ; end-time = 7pm )
schedule yoga activity with David on the 18th from 6pm to 7pm	schedule ( title = yoga activity with David ; date = 18th ; start-time = 6pm ; end-time = 7pm )
schedule dinner with Ashley on the 17th from 9pm to 10pm	schedule ( title = dinner with Ashley ; date = 17th ; start-time = 9pm ; end-time = 10pm )
schedule dinner with Brian on the 28th from 1pm to 2pm	schedule ( title = dinner with Brian ; date = 28th ; start-time = 1pm ; end-time = 2pm )
schedule conference with Ashley on the 8th from 5pm to 6pm	schedule ( title = conference with Ashley ; date = 8th ; start-time = 5pm ; end-time = 6pm )
schedule dinner with Sophia on the 17th from 12am to 1am	schedule ( title = dinner with Sophia ; date = 17th ; start-time = 12am ; end-time = 1am )
schedule breakfast with Justin on the 19th from 6pm to 7pm	schedule ( title = breakfast with Justin ; date = 19th ; start-time = 6pm ; end-time = 7pm )
schedule lab appointment with Elizabeth on the 3rd from 3am to 4am	schedule ( title = lab appointment with Elizabeth ; date = 3rd ; start-time = 3am ; end-time = 4am )
schedule lab appointment with Mia on the 30th from 2am to 3am	schedule ( title = lab appointment with Mia ; date = 30th ; start-time = 2am ; end-time = 3am )
schedule optometrist appointment with Isabella on the 2nd from 10am to 11am	schedule ( title = optometrist appointment with Isabella ; date = 2nd ; start-time = 10am ; end-time = 11am )
schedule interview with Sophia on the 6th from 9pm to 10pm	schedule ( title = interview with Sophia ; date = 6th ; start-time = 9pm ; end-time = 10pm )
schedule dinner with James on the 25th from 11am to 12am	schedule ( title = dinner with James ; date = 25th ; start-time = 11am ; end-time = 12am )
reminder breakfast with Harper this Monday from 9am to 10am	reminder ( title = breakfast with Harper ; date = this Monday ; start-time = 9am ; end-time = 10am )
reminder football activities with Oliver this Saturday from 5pm to 6pm	reminder ( title = football activities with Oliver ; date = this Saturday ; start-time = 5pm ; end-time = 6pm )
reminder zoom with Gary this Saturday from 10am to 11am	reminder ( title = zoom with Gary ; date = this Saturday ; start-time = 10am ; end-time = 11am )
reminder football activities with Noah this Tuesday from 9am to 10am	reminder ( title = football activities with Noah ; date = this Tuesday ; start-time = 9am ; end-time = 10am )
reminder conference with Richard next Thursday from 8pm to 9pm	reminder ( title = conference with Richard ; date = next Thursday ; start-time = 8pm ; end-time = 9pm )
reminder meeting with father next Friday from 2am to 3am	reminder ( title = meeting with father ; date = next Friday ; start-time = 2am ; end-time = 3am )
reminder meeting with Isabella next Friday from 5am to 6am	reminder ( title = meeting with Isabella ; date = next Friday ; start-time = 5am ; end-time = 6am )
reminder dentist appointment with Jessica this Wednesday from 6am to 7am	reminder ( title = dentist appointment with Jessica ; date = this Wednesday ; start-time = 6am ; end-time = 7am )
reminder dinner with Jennifer next Friday from 7pm to 8pm	reminder ( title = dinner with Jennifer ; date = next Friday ; start-time = 7pm ; end-time = 8pm )
reminder yoga activity with William this Sunday from 8pm to 9pm	reminder ( title = yoga activity with William ; date = this Sunday ; start-time = 8pm ; end-time = 9pm )
set reminder for yoga activity with Henry next Friday from 12am to 1am	reminder ( title = yoga activity with Henry ; date = next Friday ; start-time = 12am ; end-time = 1am )
reminder talk with Brian this Sunday from 5pm to 6pm	reminder ( title = talk with Brian ; date = this Sunday ; start-time = 5pm ; end-time = 6pm )
reminder dentist appointment with William next Monday from 10pm to 11pm	reminder ( title = dentist appointment with William ; date = next Monday ; start-time = 10pm ; end-time = 11pm )
set reminder for talk with Jessica this Thursday from 12pm to 1pm	reminder ( title = talk with Jessica ; date = this Thursday ; start-time = 12pm ; end-time = 1pm )
reminder taking medicine with Alexander this Saturday from 5pm to 6pm	reminder ( title = taking medicine with Alexander ; date = this Saturday ; start-time = 5pm ; end-time = 6pm )
reminder meeting with Richard next Monday from 11am to 12am	reminder ( title = meeting with Richard ; date = next Monday ; start-time = 11am ; end-time = 12am )
reminder talk with Oliver this Saturday from 4am to 5am	reminder ( title = talk with Oliver ; date = this Saturday ; start-time = 4am ; end-time = 5am )
reminder meeting with Scott next Thursday from 1am to 2am	reminder ( title = meeting with Scott ; date = next Thursday ; start-time = 1am ; end-time = 2am )
set reminder for conference with Lisa this Wednesday from 12pm to 1pm	reminder ( title = conference with Lisa ; date = this Wednesday ; start-time = 12pm ; end-time = 1pm )
reminder talk with David next Tuesday from 4pm to 5pm	reminder ( title = talk with David ; date = next Tuesday ; start-time = 4pm ; end-time = 5pm )
reminder interview with Mary next Saturday from 11pm to 12pm	reminder ( title = interview with Mary ; date = next Saturday ; start-time = 11pm ; end-time = 12pm )
reminder dinner with Linda next Monday from 3pm to 4pm	reminder ( title = dinner with Linda ; date = next Monday ; start-time = 3pm ; end-time = 4pm )
reminder talk with Charlotte this Sunday from 7am to 8am	reminder ( title = talk with Charlotte ; date = this Sunday ; start-time = 7am ; end-time = 8am )
reminder dinner with Alex this Thursday from 9pm to 10pm	reminder ( title = dinner with Alex ; date = this Thursday ; start-time = 9pm ; end-time = 10pm )
reminder football activities with John this Sunday from 8pm to 9pm	reminder ( title = football activities with John ; date = this Sunday ; start-time = 8pm ; end-time = 9pm )
reminder lab appointment with Emily next Thursday from 10am to 11am	reminder ( title = lab appointment with Emily ; date = next Thursday ; start-time = 10am ; end-time = 11am )
reminder optometrist appointment with Jeffrey this Thursday from 5am to 6am	reminder ( title = optometrist appointment with Jeffrey ; date = this Thursday ; start-time = 5am ; end-time = 6am )
set reminder for breakfast with Isabella next Saturday from 12am to 1am	reminder ( title = breakfast with Isabella ; date = next Saturday ; start-time = 12am ; end-time = 1am )
reminder taking medicine with Henry this Sunday from 7am to 8am	reminder ( title = taking medicine with Henry ; date = this Sunday ; start-time = 7am ; end-time = 8am )
reminder interview with John next Sunday from 5am to 6am	reminder ( title = interview with John ; date = next Sunday ; start-time = 5am ; end-time = 6am )
reminder dentist appointment with Barbara this Saturday from 2am to 3am	reminder ( title = dentist appointment with Barbara ; date = this Saturday ; start-time = 2am ; end-time = 3am )
reminder flight with Alex this Tuesday from 4am to 5am	reminder ( title = flight with Alex ; date = this Tuesday ; start-time = 4am ; end-time = 5am )
reminder breakfast with sister this Saturday from 8am to 9am	reminder ( title = breakfast with sister ; date = this Saturday ; start-time = 8am ; end-time = 9am )
reminder trip with Ashley next Monday from 2pm to 3pm	reminder ( title = trip with Ashley ; date = next Monday ; start-time = 2pm ; end-time = 3pm )
set reminder for lab appointment with Ryan next Sunday from 12pm to 1pm	reminder ( title = lab appointment with Ryan ; date = next Sunday ; start-time = 12pm ; end-time = 1pm )
reminder meeting with Alice next Thursday from 5pm to 6pm	reminder ( title = meeting with Alice ; date = next Thursday ; start-time = 5pm ; end-time = 6pm )
set reminder for conference with Gary next Monday from 12pm to 1pm	reminder ( title = conference with Gary ; date = next Monday ; start-time = 12pm ; end-time = 1pm )
reminder lab appointment with Sarah this Sunday from 2am to 3am	reminder ( title = lab appointment with Sarah ; date = this Sunday ; start-time = 2am ; end-time = 3am )
reminder taking medicine with Isabella this Saturday from 1am to 2am	reminder ( title = taking medicine with Isabella ; date = this Saturday ; start-time = 1am ; end-time = 2am )
set reminder for optometrist appointment with Mary next Monday from 12am to 1am	reminder ( title = optometrist appointment with Mary ; date = next Monday ; start-time = 12am ; end-time = 1am )
reminder lab appointment with Liam this Wednesday from 10pm to 11pm	reminder ( title = lab appointment with Liam ; date = this Wednesday ; start-time = 10pm ; end-time = 11pm )
reminder breakfast with Sarah this Monday from 6pm to 7pm	reminder ( title = breakfast with Sarah ; date = this Monday ; start-time = 6pm ; end-time = 7pm )
reminder dinner with Richard next Thursday from 2pm to 3pm	reminder ( title = dinner with Richard ; date = next Thursday ; start-time = 2pm ; end-time = 3pm )
reminder flight with Elizabeth this Thursday from 3am to 4am	reminder ( title = flight with Elizabeth ; date = this Thursday ; start-time = 3am ; end-time = 4am )
set reminder for yoga activity with Mia next Thursday from 12pm to 1pm	reminder ( title = yoga activity with Mia ; date = next Thursday ; start-time = 12pm ; end-time = 1pm )
reminder dinner with Amelia this Monday from 1pm to 2pm	reminder ( title = dinner with Amelia ; date = this Monday ; start-time = 1pm ; end-time = 2pm )
reminder lunch with Elijah next Monday from 9pm to 10pm	reminder ( title = lunch with Elijah ; date = next Monday ; start-time = 9pm ; end-time = 10pm )
reminder football activities with Henry this Thursday from 6am to 7am	reminder ( title = football activities with Henry ; date = this Thursday ; start-time = 6am ; end-time = 7am )
reminder football activities with Mary next Wednesday from 1pm to 2pm	reminder ( title = football activities with Mary ; date = next Wednesday ; start-time = 1pm ; end-time = 2pm )
reminder dinner with father next Wednesday from 7pm to 8pm	reminder ( title = dinner with father ; date = next Wednesday ; start-time = 7pm ; end-time = 8pm )
reminder taking medicine with William this Sunday from 7am to 8am	reminder ( title = taking medicine with William ; date = this Sunday ; start-time = 7am ; end-time = 8am )
reminder meeting with Evelyn next Monday from 11pm to 12pm	reminder ( title = meeting with Evelyn ; date = next Monday ; start-time = 11pm ; end-time = 12pm )
reminder dinner with Sarah this Wednesday from 10pm to 11pm	reminder ( title = dinner with Sarah ; date = this Wednesday ; start-time = 10pm ; end-time = 11pm )
reminder optometrist appointment with Mia next Tuesday from 4pm to 5pm	reminder ( title = optometrist appointment with Mia ; date = next Tuesday ; start-time = 4pm ; end-time = 5pm )
reminder talk with William next Wednesday from 6am to 7am	reminder ( title = talk with William ; date = next Wednesday ; start-time = 6am ; end-time = 7am )
reminder dentist appointment with Olivia this Saturday from 4am to 5am	reminder ( title = dentist appointment with Olivia ; date = this Saturday ; start-time = 4am ; end-time = 5am )
reminder lunch with Sarah this Friday from 9pm to 10pm	reminder ( title = lunch with Sarah ; date = this Friday ; start-time = 9pm ; end-time = 10pm )
reminder dinner with Timothy next Tuesday from 10pm to 11pm	reminder ( title = dinner with Timothy ; date = next Tuesday ; start-time = 10pm ; end-time = 11pm )
reminder dinner with Jessica next Tuesday from 9pm to 10pm	reminder ( title = dinner with Jessica ; date = next Tuesday ; start-time = 9pm ; end-time = 10pm )
reminder yoga activity with George next Sunday from 7am to 8am	reminder ( title = yoga activity with George ; date = next Sunday ; start-time = 7am ; end-time = 8am )
reminder zoom with Sarah this Saturday from 10pm to 11pm	reminder ( title = zoom with Sarah ; date = this Saturday ; start-time = 10pm ; end-time = 11pm )
reminder breakfast with father next Thursday from 5am to 6am	reminder ( title = breakfast with father ; date = next Thursday ; start-time = 5am ; end-time = 6am )
reminder dentist appointment with Ava this Saturday from 9am to 10am	reminder ( title = dentist appointment with Ava ; date = this Saturday ; start-time = 9am ; end-time = 10am )
reminder lab appointment with Richard this Saturday from 6am to 7am	reminder ( title = lab appointment with Richard ; date = this Saturday ; start-time = 6am ; end-time = 7am )
set reminder for trip with  this Monday from 12pm to 1pm	reminder ( title = trip with  ; date = this Monday ; start-time = 12pm ; end-time = 1pm )
reminder lab appointment with David next Wednesday from 11pm to 12pm	reminder ( title = lab appointment with David ; date = next Wednesday ; start-time = 11pm ; end-time = 12pm )
reminder interview with Elijah this Saturday from 5pm to 6pm	reminder ( title = interview with Elijah ; date = this Saturday ; start-time = 5pm ; end-time = 6pm )
reminder lab appointment with Benjamin this Friday from 4am to 5am	reminder ( title = lab appointment with Benjamin ; date = this Friday ; start-time = 4am ; end-time = 5am )
reminder lab appointment with James next Monday from 3am to 4am	reminder ( title = lab appointment with James ; date = next Monday ; start-time = 3am ; end-time = 4am )
reminder football activities with Timothy this Wednesday from 4pm to 5pm	reminder ( title = football activities with Timothy ; date = this Wednesday ; start-time = 4pm ; end-time = 5pm )
reminder meeting with Mary next Wednesday from 1am to 2am	reminder ( title = meeting with Mary ; date = next Wednesday ; start-time = 1am ; end-time = 2am )
reminder talk with Robert next Monday from 4am to 5am	reminder ( title = talk with Robert ; date = next Monday ; start-time = 4am ; end-time = 5am )
reminder flight with Alice this Monday from 10am to 11am	reminder ( title = flight with Alice ; date = this Monday ; start-time = 10am ; end-time = 11am )
reminder zoom with Emily next Thursday from 11pm to 12pm	reminder ( title = zoom with Emily ; date = next Thursday ; start-time = 11pm ; end-time = 12pm )
reminder playing football with Benjamin next Thursday from 9pm to 10pm	reminder ( title = playing football with Benjamin ; date = next Thursday ; start-time = 9pm ; end-time = 10pm )
reminder optometrist appointment with Jeffrey this Monday from 3am to 4am	reminder ( title = optometrist appointment with Jeffrey ; date = this Monday ; start-time = 3am ; end-time = 4am )
reminder lunch with Linda this Thursday from 10pm to 11pm	reminder ( title = lunch with Linda ; date = this Thursday ; start-time = 10pm ; end-time = 11pm )
reminder interview with Mia this Monday from 8am to 9am	reminder ( title = interview with Mia ; date = this Monday ; start-time = 8am ; end-time = 9am )
reminder football activities with Elizabeth this Tuesday from 2am to 3am	reminder ( title = football activities with Elizabeth ; date = this Tuesday ; start-time = 2am ; end-time = 3am )
reminder zoom with Ryan next Saturday from 9am to 10am	reminder ( title = zoom with Ryan ; date = next Saturday ; start-time = 9am ; end-time = 10am )
reminder dinner with Olivia next Wednesday from 10am to 11am	reminder ( title = dinner with Olivia ; date = next Wednesday ; start-time = 10am ; end-time = 11am )
reminder dentist appointment with Charlotte next Monday from 2pm to 3pm	reminder ( title = dentist appointment with Charlotte ; date = next Monday ; start-time = 2pm ; end-time = 3pm )
reminder playing football with Jeffrey this Wednesday from 2pm to 3pm	reminder ( title = playing football with Jeffrey ; date = this Wednesday ; start-time = 2pm ; end-time = 3pm )
reminder interview with Evelyn next Wednesday from 6pm to 7pm	reminder ( title = interview with Evelyn ; date = next Wednesday ; start-time = 6pm ; end-time = 7pm )
reminder optometrist appointment with David next Tuesday from 1pm to 2pm	reminder ( title = optometrist appointment with David ; date = next Tuesday ; start-time = 1pm ; end-time = 2pm )
reminder meeting with Michael next Monday from 9am to 10am	reminder ( title = meeting with Michael ; date = next Monday ; start-time = 9am ; end-time = 10am )
set reminder for meeting with Mia this Tuesday from 12pm to 1pm	reminder ( title = meeting with Mia ; date = this Tuesday ; start-time = 12pm ; end-time = 1pm )
reminder meeting with James next Wednesday from 6pm to 7pm	reminder ( title = meeting with James ; date = next Wednesday ; start-time = 6pm ; end-time = 7pm )
reminder conference with Michael this Friday from 9am to 10am	reminder ( title = conference with Michael ; date = this Friday ; start-time = 9am ; end-time = 10am )
reminder meeting with Evelyn next Monday from 10pm to 11pm	reminder ( title = meeting with Evelyn ; date = next Monday ; start-time = 10pm ; end-time = 11pm )
reminder meeting with Ryan next Sunday from 5am to 6am	reminder ( title = meeting with Ryan ; date = next Sunday ; start-time = 5am ; end-time = 6am )
reminder dinner with Ryan this Sunday from 10pm to 11pm	reminder ( title = dinner with Ryan ; date = this Sunday ; start-time = 10pm ; end-time = 11pm )
reminder lunch with Sarah next Sunday from 9am to 10am	reminder ( title = lunch with Sarah ; date = next Sunday ; start-time = 9am ; end-time = 10am )
reminder playing football with Emma next Friday from 2am to 3am	reminder ( title = playing football with Emma ; date = next Friday ; start-time = 2am ; end-time = 3am )
reminder taking medicine with Jennifer next Saturday from 6am to 7am	reminder ( title = taking medicine with Jennifer ; date = next Saturday ; start-time = 6am ; end-time = 7am )
reminder lab appointment with Kevin next Tuesday from 3pm to 4pm	reminder ( title = lab appointment with Kevin ; date = next Tuesday ; start-time = 3pm ; end-time = 4pm )
reminder lunch with Robert next Wednesday from 11pm to 12pm	reminder ( title = lunch with Robert ; date = next Wednesday ; start-time = 11pm ; end-time = 12pm )
reminder breakfast with Timothy this Wednesday from 7pm to 8pm	reminder ( title = breakfast with Timothy ; date = this Wednesday ; start-time = 7pm ; end-time = 8pm )
reminder meeting with Alex this Monday from 8pm to 9pm	reminder ( title = meeting with Alex ; date = this Monday ; start-time = 8pm ; end-time = 9pm )
reminder yoga activity with Lucas this Saturday from 2am to 3am	reminder ( title = yoga activity with Lucas ; date = this Saturday ; start-time = 2am ; end-time = 3am )
reminder flight with Kevin next Friday from 4am to 5am	reminder ( title = flight with Kevin ; date = next Friday ; start-time = 4am ; end-time = 5am )
reminder lunch with Sophia next Monday from 4am to 5am	reminder ( title = lunch with Sophia ; date = next Monday ; start-time = 4am ; end-time = 5am )
reminder interview with Jennifer this Friday from 8pm to 9pm	reminder ( title = interview with Jennifer ; date = this Friday ; start-time = 8pm ; end-time = 9pm )
reminder trip with Barbara next Monday from 2am to 3am	reminder ( title = trip with Barbara ; date = next Monday ; start-time = 2am ; end-time = 3am )
reminder playing football with Charlotte this Tuesday from 3pm to 4pm	reminder ( title = playing football with Charlotte ; date = this Tuesday ; start-time = 3pm ; end-time = 4pm )
reminder taking medicine with Gary next Wednesday from 6am to 7am	reminder ( title = taking medicine with Gary ; date = next Wednesday ; start-time = 6am ; end-time = 7am )
reminder meeting with William next Saturday from 5am to 6am	reminder ( title = meeting with William ; date = next Saturday ; start-time = 5am ; end-time = 6am )
reminder meeting with Sophia this Thursday from 2pm to 3pm	reminder ( title = meeting with Sophia ; date = this Thursday ; start-time = 2pm ; end-time = 3pm )
reminder breakfast with William next Saturday from 11am to 12am	reminder ( title = breakfast with William ; date = next Saturday ; start-time = 11am ; end-time = 12am )
reminder dinner with Henry this Tuesday from 2am to 3am	reminder ( title = dinner with Henry ; date = this Tuesday ; start-time = 2am ; end-time = 3am )
reminder playing football with Jennifer next Saturday from 5pm to 6pm	reminder ( title = playing football with Jennifer ; date = next Saturday ; start-time = 5pm ; end-time = 6pm )
reminder talk with Kevin next Wednesday from 11pm to 12pm	reminder ( title = talk with Kevin ; date = next Wednesday ; start-time = 11pm ; end-time = 12pm )
reminder lunch with Jessica this Tuesday from 4am to 5am	reminder ( title = lunch with Jessica ; date = this Tuesday ; start-time = 4am ; end-time = 5am )
reminder breakfast with Sarah this Thursday from 7pm to 8pm	reminder ( title = breakfast with Sarah ; date = this Thursday ; start-time = 7pm ; end-time = 8pm )
reminder dinner with Jennifer next Monday from 9pm to 10pm	reminder ( title = dinner with Jennifer ; date = next Monday ; start-time = 9pm ; end-time = 10pm )
reminder lab appointment with Sophia this Tuesday from 5pm to 6pm	reminder ( title = lab appointment with Sophia ; date = this Tuesday ; start-time = 5pm ; end-time = 6pm )
reminder football activities with Alex this Saturday from 3am to 4am	reminder ( title = football activities with Alex ; date = this Saturday ; start-time = 3am ; end-time = 4am )
reminder taking medicine with Elijah next Sunday from 8am to 9am	reminder ( title = taking medicine with Elijah ; date = next Sunday ; start-time = 8am ; end-time = 9am )
set reminder for talk with Mia this Tuesday from 12am to 1am	reminder ( title = talk with Mia ; date = this Tuesday ; start-time = 12am ; end-time = 1am )
reminder optometrist appointment with Evelyn next Wednesday from 7am to 8am	reminder ( title = optometrist appointment with Evelyn ; date = next Wednesday ; start-time = 7am ; end-time = 8am )
reminder interview with Jacob this Sunday from 3pm to 4pm	reminder ( title = interview with Jacob ; date = this Sunday ; start-time = 3pm ; end-time = 4pm )
reminder dinner with Emily this Thursday from 2am to 3am	reminder ( title = dinner with Emily ; date = this Thursday ; start-time = 2am ; end-time = 3am )
set reminder for meeting with Kevin this Tuesday from 12pm to 1pm	reminder ( title = meeting with Kevin ; date = this Tuesday ; start-time = 12pm ; end-time = 1pm )
reminder conference with Alexander this Monday from 7pm to 8pm	reminder ( title = conference with Alexander ; date = this Monday ; start-time = 7pm ; end-time = 8pm )
reminder zoom with Jessica next Saturday from 11am to 12am	reminder ( title = zoom with Jessica ; date = next Saturday ; start-time = 11am ; end-time = 12am )
reminder trip with Isabella this Thursday from 4am to 5am	reminder ( title = trip with Isabella ; date = this Thursday ; start-time = 4am ; end-time = 5am )
reminder optometrist appointment with Michael this Tuesday from 9pm to 10pm	reminder ( title = optometrist appointment with Michael ; date = this Tuesday ; start-time = 9pm ; end-time = 10pm )
reminder breakfast with Mary this Wednesday from 6am to 7am	reminder ( title = breakfast with Mary ; date = this Wednesday ; start-time = 6am ; end-time = 7am )
reminder breakfast with Oliver this Monday from 8am to 9am	reminder ( title = breakfast with Oliver ; date = this Monday ; start-time = 8am ; end-time = 9am )
set reminder for optometrist appointment with Justin this Thursday from 12pm to 1pm	reminder ( title = optometrist appointment with Justin ; date = this Thursday ; start-time = 12pm ; end-time = 1pm )
reminder dentist appointment with Gary this Tuesday from 3pm to 4pm	reminder ( title = dentist appointment with Gary ; date = this Tuesday ; start-time = 3pm ; end-time = 4pm )
reminder flight with Elijah next Saturday from 4pm to 5pm	reminder ( title = flight with Elijah ; date = next Saturday ; start-time = 4pm ; end-time = 5pm )
reminder lunch with Ashley next Wednesday from 10pm to 11pm	reminder ( title = lunch with Ashley ; date = next Wednesday ; start-time = 10pm ; end-time = 11pm )
reminder flight with Sarah next Tuesday from 11pm to 12pm	reminder ( title = flight with Sarah ; date = next Tuesday ; start-time = 11pm ; end-time = 12pm )
set reminder for trip with Timothy next Saturday from 12am to 1am	reminder ( title = trip with Timothy ; date = next Saturday ; start-time = 12am ; end-time = 1am )
reminder optometrist appointment with William next Monday from 4am to 5am	reminder ( title = optometrist appointment with William ; date = next Monday ; start-time = 4am ; end-time = 5am )
reminder playing football with father this Friday from 6am to 7am	reminder ( title = playing football with father ; date = this Friday ; start-time = 6am ; end-time = 7am )
reminder dinner with Barbara this Sunday from 6pm to 7pm	reminder ( title = dinner with Barbara ; date = this Sunday ; start-time = 6pm ; end-time = 7pm )
reminder optometrist appointment with William this Sunday from 4am to 5am	reminder ( title = optometrist appointment with William ; date = this Sunday ; start-time = 4am ; end-time = 5am )
reminder meeting with Sarah this Monday from 4am to 5am	reminder ( title = meeting with Sarah ; date = this Monday ; start-time = 4am ; end-time = 5am )
set reminder for dinner with Elizabeth next Tuesday from 12am to 1am	reminder ( title = dinner with Elizabeth ; date = next Tuesday ; start-time = 12am ; end-time = 1am )
reminder interview with David this Sunday from 11am to 12am	reminder ( title = interview with David ; date = this Sunday ; start-time = 11am ; end-time = 12am )
reminder yoga activity with Brian this Wednesday from 6am to 7am	reminder ( title = yoga activity with Brian ; date = this Wednesday ; start-time = 6am ; end-time = 7am )
reminder talk with Michael this Saturday from 6am to 7am	reminder ( title = talk with Michael ; date = this Saturday ; start-time = 6am ; end-time = 7am )
reminder taking medicine with Mia this Friday from 3pm to 4pm	reminder ( title = taking medicine with Mia ; date = this Friday ; start-time = 3pm ; end-time = 4pm )
reminder interview with Jennifer next Sunday from 8pm to 9pm	reminder ( title = interview with Jennifer ; date = next Sunday ; start-time = 8pm ; end-time = 9pm )
reminder football activities with Ryan next Sunday from 10pm to 11pm	reminder ( title = football activities with Ryan ; date = next Sunday ; start-time = 10pm ; end-time = 11pm )
reminder meeting with Benjamin next Wednesday from 6pm to 7pm	reminder ( title = meeting with Benjamin ; date = next Wednesday ; start-time = 6pm ; end-time = 7pm )
reminder interview with Benjamin this Monday from 9pm to 10pm	reminder ( title = interview with Benjamin ; date = this Monday ; start-time = 9pm ; end-time = 10pm )
reminder playing football with William next Wednesday from 1pm to 2pm	reminder ( title = playing football with William ; date = next Wednesday ; start-time = 1pm ; end-time = 2pm )
reminder flight with Richard next Wednesday from 11pm to 12pm	reminder ( title = flight with Richard ; date = next Wednesday ; start-time = 11pm ; end-time = 12pm )
reminder dinner with Alice next Saturday from 6pm to 7pm	reminder ( title = dinner with Alice ; date = next Saturday ; start-time = 6pm ; end-time = 7pm )
